username;title;model;verified;date;region;text;stars;id
L. Kies;OMG!;0;Verified Purchase;March 12, 2024;United States;"
These are absolutely delicious.  In fact, they are so good I had to be careful not to eat the whole bag in one sitting.  Pace yourself!  They are not a low-calorie food!  But they are definitely a treat and they taste wonderful.  I ordered them from Amazon and none of them even broke in the bag.  They were all intact upon arrival.  I do believe I can safely say I love these and will be getting them again.  They would be for both kids and adults.
";5.0;B0C449R6PX
Johanne;Entrega rapida;0;Verified Purchase;May 7, 2024;United States;"
Buen sabor
";5.0;B0C449R6PX
D. West;Yummy Delicious;0;Verified Purchase;April 1, 2024;United States;"
I had these for the first time in Italy and we all loved them. I was so happy to see them on Amazon - brings back wonderful memories of Italy. They are the perfect amount of crunch and nutella filling - try them - you will love them.
";5.0;B0C449R6PX
Sandra W;Yum!;0;Verified Purchase;April 30, 2024;United States;"
Buying these! You will not regret it!
";5.0;B0C449R6PX
Noella Vigneault;They are delicious!!!😀;0;Verified Purchase;May 8, 2024;United States;"
Snacking!
";5.0;B0C449R6PX
B. Dills;Delicious;0;Verified Purchase;April 27, 2024;United States;"
If you love Nutella and cookies then these are perfect for you! Absolutely delicious!
";5.0;B0C449R6PX
Rodney;Can’t stop the addiction;0;Verified Purchase;April 13, 2024;United States;"
Every month I purchase at least two of these. Mostly they come well packed with 2 or 3 broken which is not bad. They are crunchy with the gooey Nutella center.
";5.0;B0C449R6PX
Luis L.;Taste;0;Verified Purchase;May 2, 2024;United States;"
Soft crumble cookies Awesome snack
";5.0;B0C449R6PX
Juniry Luna;Mmmmm hazelnut;0;Verified Purchase;April 29, 2024;United States;"
Best snack I’m eating them right now.
";5.0;B0C449R6PX
Hascie Blake;Nutella goodness;0;Verified Purchase;April 18, 2024;United States;"
My mother and I both love these wee cookies. They're quite good. Perfect for a small snack between meals or watching TV at night. They're yummy.
";5.0;B0C449R6PX
Amazon Customer;Addicted;0;Verified Purchase;March 22, 2024;United States;"
These are so yummmmmmy. Definitely recommend especially if you're a nutella fan. One thing to be aware is if you're ordering online and they ship it with another item be prepared to have many of the cookies broken... first hand experience here gahhh.
";4.0;B0C449R6PX
Roy Bullins;Great biscuits;0;Verified Purchase;April 21, 2024;United States;"
Great cream filled center get your nutella biscuits.🤗
";5.0;B0C449R6PX
cj ;So good;0;Verified Purchase;April 24, 2024;United States;"
They are very crunchy and creamy perfect for a snack,road trip, and on the go.
";5.0;B0C449R6PX
Susan;Unexpected Deliciousness!;0;Verified Purchase;April 1, 2024;United States;"
I needed a filler item to get overnight delivery.I had never heard of this Nutella shortbread cookie before, but I'm so glad it popped up in suggested items! So good that I've ordered these cookies several times since!
";5.0;B0C449R6PX
August;Delicious so easy to eat;0;Verified Purchase;April 3, 2024;United States;"
Pop one and the next thing you know you’re eaten the entire bag. So good. Be forewarned not for faint of heart or those with poor impulse control. Did I mention how delicious they are
";5.0;B0C449R6PX
Heather Miller;delicious;0;Verified Purchase;April 25, 2024;United States;"
if you are a nutella fan then I highly recommend these!
";5.0;B0C449R6PX
MarshaAnn;Nutella Screwed Us All When They…;0;Verified Purchase;April 22, 2024;United States;"
…started making these delicious little nuggets of delight, because we can’t stop eating them, can we?
";5.0;B0C449R6PX
fishsiaa;Good stuff;0;Verified Purchase;April 6, 2024;United States;"
These were really good!!!Bought them a couple of times
";4.0;B0C449R6PX
kathleen sutherland;Cookies;0;Verified Purchase;April 17, 2024;United States;"
Grandkids love these. I wish they were cheaper because children do love them. Can't buy like I'd like. But always fresh. About in bag is good.
";5.0;B0C449R6PX
Hermes Franqui;Delicious cookies that except for the price, I would highly recommend.;0;Verified Purchase;March 7, 2024;United States;"
Delicious cookies that except for the price, I would highly recommend. The best price for these is about average, but many offerings are way too expensive to eat without thinking of the expense. If you get these as a ""Delicacy"", you may want to give these a full ""5-Star"" rating.
";4.0;B0C449R6PX
Chris;Awesome cookies for Nutella lovers;0;Verified Purchase;April 8, 2024;United States;"
Crispy shortbread like cookies with Nutella filling in the middle! A Nutella and hazelnut lovers dream cookie! I have ordered these on subscription. Along with my Bueno bars, I'm set!
";5.0;B0C449R6PX
Jess;So good;0;Verified Purchase;April 20, 2024;United States;"
These are next level. Super tasty and I’m kind of addicted to them.
";5.0;B0C449R6PX
Amazon Customer;So cute;0;Verified Purchase;April 11, 2024;United States;"
I love these biscuits and want more but I must cut back 😪
";5.0;B0C449R6PX
Jordan;New favorite snack;0;Verified Purchase;March 26, 2024;United States;"
I should not be calling it a snack because I finished this bag in one seating. Nothing to hate about it. The crunchy cookie, the milky chocolate are simply delicious and not very sweet which is why it made it simple for me to finish the whole bag
";5.0;B0C449R6PX
Dracegirl;YUM!!!;0;Verified Purchase;April 6, 2024;United States;"
These are so good - unfortunately for me, they didn't even last a day in my house. lol
";5.0;B0C449R6PX
Tu Marca Consciente;They are too good;0;Verified Purchase;April 15, 2024;United States;"
The only problem I find with this product is that you will not stop eating them
";5.0;B0C449R6PX
Nuri;Nice;0;Verified Purchase;April 24, 2024;United States;"
Nice and delicious
";5.0;B0C449R6PX
Barb;Good cookie;0;Verified Purchase;April 18, 2024;United States;"
Went too fast.Next time  I'll get 2 or 3.
";5.0;B0C449R6PX
MinW;tasty treat;0;Verified Purchase;March 28, 2024;United States;"
if you like Nutella,  you can't go wrong with these cookies. I'm not a huge fan of it,  but the sweetness of the hazelnut balances the more neutral cookie.  perfect pair!
";5.0;B0C449R6PX
Mezzaforte;Delicious;0;Verified Purchase;April 25, 2024;United States;"
Ong so good!
";5.0;B0C449R6PX
Amazon Customer;Send this in a care package for my grandson in college;0;Verified Purchase;April 16, 2024;United States;"
This was  part of a care package for my grandson in college..loved them
";5.0;B0C449R6PX
Vernon MacHauer;Yummy;0;Verified Purchase;April 13, 2024;United States;"
Everyone loves them, especially my wife and grandchildren.
";5.0;B0C449R6PX
Cassie Brunet;Great treat for a Nutella lover;0;Verified Purchase;April 13, 2024;United States;"
Love having these cookies with my coffee
";5.0;B0C449R6PX
Red Benz;Delicious;0;Verified Purchase;April 21, 2024;United States;"
These are absolutely delicious
";5.0;B0C449R6PX
Norman;Great if they aren't crushed when you get them;0;Verified Purchase;March 4, 2024;United States;"
Biscuits are delicious, but more than once they arrived broken / crushed
";4.0;B0C449R6PX
Dina;Love these;0;Verified Purchase;April 18, 2024;United States;"
Can't find them in the store. Delicious, we love them!
";5.0;B0C449R6PX
Jason keaton;I mean, Nutella cookie.;0;Verified Purchase;April 5, 2024;United States;"
What else do you need to know !
";5.0;B0C449R6PX
Barbie;Good treat;0;Verified Purchase;April 14, 2024;United States;"
Awesome treat for the kids
";5.0;B0C449R6PX
brian;Amazing;0;Verified Purchase;April 19, 2024;United States;"
These are amazing!!!
";5.0;B0C449R6PX
Confidence Orji;So delicious;0;Verified Purchase;April 17, 2024;United States;"
I love these a lot. I order them weekly!
";5.0;B0C449R6PX
Christine;Love them!;0;Verified Purchase;March 15, 2024;United States;"
If you like Nutella try these out! They are super crispy with a delicious Nutella filling inside!Only disadvantage is that some of the cookies may break due to how they are being shipped…However, maybe this could be solved by using sturdier packaging ?
";5.0;B0C449R6PX
Anonymous ;Very nice;0;Verified Purchase;March 29, 2024;United States;"
Looks good if you love Nutella like me get them very good.
";4.0;B0C449R6PX
